"id","name","active","direction","isoCode","localeCode"
"lang_en","English",true,"ltr","en","en_US"
"lang_vi_VN","Vietnamese / Tiếng Việt",true,"ltr","vi","vi_VN"
"lang_sq_AL","Albanian / Shqip",false,"ltr","sq","sq_AL"
"lang_am_ET","Amharic / አምሃርኛ",false,"ltr","am_ET","am_ET"
"lang_ar_SY","Arabic (Syria) / الْعَرَبيّة",false,"rtl","ar_SY","ar_SY"
"lang_ar","Arabic / الْعَرَبيّة",false,"rtl","ar","ar_AA"
"lang_eu_ES","Basque / Euskara",false,"ltr","eu_ES","eu_ES"
"lang_bn_IN","Bengali / বাংলা",false,"ltr","bn_IN","bn_IN"
"lang_bs_BA","Bosnian / bosanski jezik",false,"ltr","bs","bs_BA"
"lang_bg","Bulgarian / български език",false,"ltr","bg","bg_BG"
"lang_my","Burmese / ဗမာစာ",false,"ltr","my","my_MM"
"lang_ca_ES","Catalan / Català",false,"ltr","ca_ES","ca_ES"
"lang_zh_HK","Chinese (HK)",false,"ltr","zh_HK","zh_HK"
"lang_zh_CN","Chinese (Simplified) / 简体中文",false,"ltr","zh_CN","zh_CN"
"lang_zh_TW","Chinese (Traditional) / 正體字",false,"ltr","zh_TW","zh_TW"
"lang_hr","Croatian / hrvatski jezik",false,"ltr","hr","hr_HR"
"lang_cs_CZ","Czech / Čeština",false,"ltr","cs_CZ","cs_CZ"
"lang_da_DK","Danish / Dansk",false,"ltr","da_DK","da_DK"
"lang_nl_BE","Dutch (BE) / Nederlands (BE)",false,"ltr","nl_BE","nl_BE"
"lang_nl","Dutch / Nederlands",false,"ltr","nl","nl_NL"
"lang_en_AU","English (AU)",false,"ltr","en_AU","en_AU"
"lang_en_CA","English (CA)",false,"ltr","en_CA","en_CA"
"lang_en_GB","English (UK)",false,"ltr","en_GB","en_GB"
"lang_et_EE","Estonian / Eesti keel",false,"ltr","et","et_EE"
"lang_fil","Filipino",false,"ltr","fil","fil"
"lang_fi","Finnish / Suomi",false,"ltr","fi","fi_FI"
"lang_fr_BE","French (BE) / Français (BE)",false,"ltr","fr_BE","fr_BE"
"lang_fr_CA","French (CA) / Français (CA)",false,"ltr","fr_CA","fr_CA"
"lang_fr_CH","French (CH) / Français (CH)",false,"ltr","fr_CH","fr_CH"
"lang_fr","French / Français",false,"ltr","fr","fr_FR"
"lang_gl_ES","Galician / Galego",false,"ltr","gl","gl_ES"
"lang_ka_GE","Georgian / ქართული ენა",false,"ltr","ka","ka_GE"
"lang_de_CH","German (CH) / Deutsch (CH)",false,"ltr","de_CH","de_CH"
"lang_de","German / Deutsch",false,"ltr","de","de_DE"
"lang_el_GR","Greek / Ελληνικά",false,"ltr","el_GR","el_GR"
"lang_gu_IN","Gujarati / ગુજરાતી",false,"ltr","gu","gu_IN"
"lang_he_IL","Hebrew / עִבְרִי",false,"rtl","he","he_IL"
"lang_hi_IN","Hindi / हिंदी",false,"ltr","hi","hi_IN"
"lang_hu","Hungarian / Magyar",false,"ltr","hu","hu_HU"
"lang_id","Indonesian / Bahasa Indonesia",false,"ltr","id","id_ID"
"lang_it","Italian / Italiano",false,"ltr","it","it_IT"
"lang_ja_JP","Japanese / 日本語",false,"ltr","ja","ja_JP"
"lang_kab_DZ","Kabyle / Taqbaylit",false,"ltr","kab","kab_DZ"
"lang_km","Khmer / ភាសាខ្មែរ",false,"ltr","km","km_KH"
"lang_ko_KP","Korean (KP) / 한국어 (KP)",false,"ltr","ko_KP","ko_KP"
"lang_ko_KR","Korean (KR) / 한국어 (KR)",false,"ltr","ko_KR","ko_KR"
"lang_lo_LA","Lao / ພາສາລາວ",false,"ltr","lo","lo_LA"
"lang_lv","Latvian / latviešu valoda",false,"ltr","lv","lv_LV"
"lang_lt","Lithuanian / Lietuvių kalba",false,"ltr","lt","lt_LT"
"lang_mk","Macedonian / македонски јазик",false,"ltr","mk","mk_MK"
