sourceTerm,translationValue,localeCode,modelName,state,active
Date start planting,Ngày bắt đầu lịch vụ,vi_VN,planting-schedule,normal,true
Date start production document,Ngày bắt đầu ghi hồ sơ sản xuất,vi_VN,planting-schedule,normal,true
Date end production document,Ngày kết thúc ghi hồ sơ sản xuất,vi_VN,planting-schedule,normal,true
Season code,Mã mùa vụ,vi_VN,planting-schedule,normal,true
Seeding day,Ngày ươm,vi_VN,planting-schedule,normal,true
Harvest date,Ngày thu hoạch,vi_VN,planting-schedule,normal,true
Year,Năm,vi_VN,planting-schedule,normal,true
Area,Nhà màng,vi_VN,planting-schedule,normal,true
Breed,Giống,vi_VN,planting-schedule,normal,true
Number of seasons,Vụ,vi_VN,planting-schedule,normal,true
Actual number of plants,Số cây trồng thực tế,vi_VN,planting-schedule,normal,true
Total of plants,Tổng số cây trồng,vi_VN,planting-schedule,normal,true
Quantity,Sản lượng thực tế,vi_VN,planting-schedule,normal,true
Quantity exprected,Sản lượng dự kiến,vi_VN,planting-schedule,normal,true
Comment,Ghi chú,vi_VN,planting-schedule,normal,true
Status,Trạng thái,vi_VN,planting-schedule,normal,true
Production document,Hồ sơ sản xuất,vi_VN,production-document,normal,true
